"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"24JTVGNI","journalArticle","1967","Kramsky, Jiri","The Frequency of Articles in Relation to Style in English","Prague Studies in Mathematical Linguistics","","","","","","1967","2016-08-16 19:57:47","2017-01-05 13:10:46","","89-95","","","2","","","","","","","","","","","","","","","","","Kramsky, Jiri. The Frequency of Articles in Relation to Style in English. Prague Studies in Mathematical Linguistics 2 1967: 89-95.  bibtex: kramsky_frequency_1967","","","","#jr6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"25BGSSME","report","1996","Proyecto ITEM","Recuperación de Información Textual en un Entorno Multilíngue con Técnicas de Lenguaje Natural","","","","","http://sensei.ieec.uned.es/item","","1996","2016-08-16 16:43:38","2017-01-02 21:47:17","","","","","","","","","","","","","Comisión Interministerial de Ciencia y Tecnología","","","","","","","","","Published: TIC96-1243-C03  bibtex: proyecto_item_recuperacion_1996","","","","#check; #pj","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"25INCNKD","journalArticle","2005","Backer, Eric; Kranenburg, Peter van","On Musical Stylometry -- A Pattern Recognition Approach","Pattern Recognition Letters","","","","","","2005","2016-08-16 19:48:06","2016-08-16 19:48:06","","299-309","","26","","","","","","","","","","","","","","","","","","Backer, Eric, and Peter van Kranenburg. On Musical Stylometry -- A Pattern Recognition Approach. Pattern Recognition Letters 26 2005: 299-309.  bibtex: backer_eric_musical_2005","","","","#jr2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"25RFSIUM","book","1988","Thomason, Sarah Grey; Kaufman, Terrence","Language Contact, Creolization, and Genetic Linguistics","","","","","","","1988","2016-08-16 16:43:38","2016-08-16 16:43:38","","","","","","","","","","","","","University of California Press","Berkeley, CA","","","","","","","","bibtex: thomason_language_1988","","","","#pj","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"263D8HTM","bookSection","2006","Abdi, Herve","The Bonferonni and Sidak Corrections for Multiple Comparisons","Encyclopedia of Measurement and Statistics","1-4129-1611-9","","","","","2006","2016-08-16 16:43:38","2017-01-04 09:13:22","","103–107","","","","","","","","","","","Sage","Thousand Oaks, California","","","","","","","","bibtex: abdi_bonferonni_2006","","","","#check; #pj","","Salkind, Neil J.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"26QSNV7T","webpage","2006","Halavais, Alex","How to Cheat Good","","","","","http://alex.halavais.net/how-to-cheat-good","","2006-05","2016-08-16 16:43:38","2017-01-05 10:42:05","","","","","","","","","","","","","","","","","","","","","","URL: http://alex.halavais.net/how-to-cheat-good [Accessed 24 February 2009]  bibtex: halavais_how_2006","","","","#pj","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"26V6BKWF","book","1972","Beaugrande, R.; Dressler, W. U.","Einführung in die Textlinguistik","","","","","","","1972","2016-08-16 16:43:38","2017-01-03 13:05:38","","","","","","","","","","","","","Niemeyer","Tübingen","","","","","","","","bibtex: beaugrande_einfuhrung_1972","","","","#pj","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"275NINR8","magazineArticle","1998","Hays, Brian","Bit Rot","American Scientist","","","","","","1998","2016-08-16 19:43:22","2017-01-03 14:24:19","","410-415","","86","","","","","","","","","","","","","","","","","","Hays, Brian. Bit Rot. American Scientist 86 1998: 410-415.  bibtex: hays_bit_1998","","","","#check; #jr1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"27UZ8UZF","journalArticle","2007","Schloss, Patrick D.; Handelsman, Jo","The Last Word: Books as Statistical Metaphor for Microbial Communities","Annual Review of Microbiology","","","","","","2007","2016-08-16 19:43:22","2017-01-08 13:31:43","","23-34","","","61","","","","","","","","","","","","","","","","","Schloss, Patrick D., and Jo Handelsman. The Last Word: Books as Statistical Metaphor for Microbial Communities. Annual Review of Microbiology 61 2007: 23-34.  bibtex: schloss_last_2007","","","","#jr1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"287BG825","bookSection","1958","Bazire, Joyce","VI. Middle English: Chaucer","The Year's Work in English Studies (Vol. XXXVII 1956)","","","","","","1958","2016-08-16 19:48:06","2017-01-03 16:05:37","","100-101","","","","","","","","","","","Oxford University Press","London","","","","","","","","Bazire, Joyce. VI. Middle English: Chaucer. In The Year's Work in English Studies Vol. XXXVII 1956. Eds. Beatrice White and T. S. Dorsch. London: Oxford University Press, 1958. pp. 100-101.  bibtex: bazire_vi._1958","","","","#jr2","","White, Beatrice; Dorsch, T. S.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"28N2XN6M","journalArticle","2011","Gill, Paramjit S.; Swartz, Tim B.","Stylometric Analysis Using Dirichlet Process Mixture Models","Journal of Statistical Planning and Inference","","","","","","2011","2016-08-16 19:48:06","2017-01-04 14:54:35","","3665-3674","","11","141","","","","","","","","","","","","","","","","","---. Stylometric Analysis Using Dirichlet Process Mixture Models. Journal of Statistical Planning and Inference 141 2011: 3665-3674.  bibtex: gill_stylometric_2011","","","","#jr2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"28NHN37V","conferencePaper","2006","Czellar, Judith","Attribution d'auteur : Application des méthodes de qsums au français","JADT 2006 : 8es Journées internationales d’Analyse statistique des Données Textuelles, (Besancon, France)","","","","","","2006","2016-11-16 10:58:38","2017-01-21 12:20:08","","299 -311","","","","","","","","","","","Presses Universitaires de Franche-Comté","Besançon","","","","","","","","bibtex: czellar_attribution_2006","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","JADT 2006 : 8es Journées internationales d’Analyse statistique des Données Textuelles","","","","","","","","","","","","","","",""
"28Q4J7VK","conferencePaper","1994","Karlgren, Jussi","Recognizing Text Genres with Simple Metrics Using Discriminant Analysis","Proceedings of Coling94","","","","","","1994","2016-08-16 19:58:11","2017-01-09 08:41:08","","1071-1075","","","","","","","","","","","","Kyoto","","","","","","","","---. Recognizing Text Genres with Simple Metrics Using Discriminant Analysis. IN Proceedings v.ii Coling94, the 15th International Conference on Computational Linguistics, Kyoto, Japan, 1994, 1071-1075.  bibtex: karlgren_recognizing_1994","","","","#jr4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","The 15th International Conference on Computational Linguistics","","","","","","","","","","","","","","",""
"28QS8PA3","journalArticle","2016","Stover, Justin A.; Kestemont, Mike","The authorship of the <i>HIstoria Augusta</i> : two new computational studies","Bulletin of the Institute of Classical Studies","","00760730","10.1111/j.2041-5370.2016.12043.x","http://doi.wiley.com/10.1111/j.2041-5370.2016.12043.x","","2016","2017-01-01 18:45:06","2017-01-01 18:45:50","2017-01-01 18:45:06","140-157","","2","59","","","","","","","","","","en","","","","","CrossRef","","bibtex: stover_authorship_2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"29SHHFPA","book","1964","Herdan, Gustav","Quantitive Linguistics","","","","","","","1964","2016-08-16 19:58:11","2016-08-17 21:59:35","","","","","","","","","","","","","Butterworths","Washington","","","","","","","","---. Quantitive Linguistics. Washington: Butterworths, 1964.  bibtex: herdan_quantitive_1964","","","","#jr4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2AI2TET5","conferencePaper","2014","Noecker, John I. Jr; Juola, Patrick","Stylometric Identification of Manic-Depressive Illness","Proceedings of DHCS 2014","","","","","","2014","2016-08-16 16:43:38","2017-01-09 08:41:08","","","","","","","","","","","","","","","","","","","","","","bibtex: noecker_stylometric_2014","","","","#pj","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2AWA4WCH","journalArticle","1993","Hardcastle, Robert A.","Forensic Linguistics : An Assessment of the Cusum Method for the Determination of Authorship","Journal of the Forensic Science Society","","","","","","1993","2016-08-16 16:43:38","2016-11-17 13:21:02","","95–106","","2","33","","","","","","","","","","","","","","","","","bibtex: hardcastle_forensic_1993","","","","#jr2; #pj","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2B3PVAFR","journalArticle","2009","Craig, Hugh; Kinney, A.","Methods","Shakespeare, Computers and the Mystery of Authorship","","","","","","2009","2016-08-16 19:50:16","2017-01-01 20:03:19","","15-39","","","","","","","","","","","","","","","","","","","","bibtex: craig_methods_2009","","","","#cllc; authorship; computational stylistics; methodology; Shakespeare","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2BA44NU4","conferencePaper","2006","Levitan, Shlomo; Argamon, Shlomo","Fixing the <em>Federalist</em>: Correcting Results and Evaluating Editions for Automated Attribution","Digital Humanities 2006","","","","","","2006","2016-08-16 19:57:47","2017-01-01 21:11:42","","N/A","","","","","","","","","","","","Paris","","","","","","","","Levitan, Shlomo, and Shlomo Argamon. Fixing the Federalist: Correcting Results and Evaluating Editions for Automated Attribution. Paper presented at, Digital Humanities 2006. Paris - Sorbonne, 5-9 July 2006.  bibtex: levitan_fixing_2006","","","","#jr6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2BI3X69F","journalArticle","1995","Holmes, David I.; Forsyth, Richard S.","The Federalist Revisited: New Directions in Authorship Attribution","Literary and Linguistic Computing","","","10.1093/llc/10.2.111","http://llc.oxfordjournals.org/content/10/2/111.abstract","","1995","2017-01-03 10:19:39","2017-01-12 18:48:49","","111 -127","","2","10","","","The Federalist Revisited","","","","","","","en","","","","","Highwire 2.0","","bibtex: holmes_federalist_1995-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2BU9USEU","conferencePaper","2000","Stamou, Constantina; Forsyth, Richard S.","Dating Dickinson: An Experimental Approach to Stylochronometry","ALLC-ACH 2000","","","","","","2000","2016-08-16 20:03:29","2017-01-09 08:41:08","","N/A","","","","","","","","","","","","Glasgow","","","","","","","","Stamou, Constantina, and Richard S. Forsyth. Dating Dickinson: An Experimental Approach to Stylochronometry. Paper presented at the Poster Session ALLC-ACH 2000 Meeting, Glasgow, 2000.  bibtex: stamou_dating_2000","","","","#jr5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2BXHTI7J","conferencePaper","2000","Pla, F.; Molina, A.; Prieto, N.","Tagging and Chunking with Bigrams","","","","","","","2000","2016-08-16 16:43:38","2017-01-09 08:41:08","","","","","","","","","","","","","","","","","","","","","","bibtex: pla_tagging_2000","","","","#pj","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2E75WTSU","book","2002","Vickers, Brian","'Counterfeiting' Shakespeare: Evidence, Authorship, and John Ford's Funerall Elegye","","","","","","","2002","2016-08-16 20:03:29","2017-01-09 08:41:08","","","","","","","","","","","","","Cambridge University Press","Cambridge","","","","","","","","---. `Counterfeiting' Shakespeare: Evidence, Authorship, and John Ford's Funerall Elegye. Cambridge: Cambridge University Press, 2002.  bibtex: vickers_counterfeiting_2002","","","","#jr5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2EHXIHDC","journalArticle","2009","King, R. D.; Rowland, J.; Oliver, S. G.; Young, M.; Aubrey, W.; Byrne, E.; Liakata, M.; Markham, M.; Pir, P.; Soldatova, L. N.; Sparkes, A.; Whelan, K. E.; Clare, A.","The Automation of Science","Science","","","","","","2009-04-03","2016-08-16 16:43:38","2016-08-16 16:43:38","","85–9","","5923","324","","","","","","","","","","","","","","","","","bibtex: king_automation_2009","","","","#pj","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2EUHJDBW","journalArticle","1963","Mosteller, Frederick; Wallace, David L.","Inference in an Authorship Problem","Journal of the American Statistical Association","","","","http://www.jstor.org/stable/2283270","","1963","2016-08-16 16:43:38","2017-01-06 18:24:14","","275–309","","302","58","","","","","","","","","","","","","","","","","bibtex: mosteller_inference_1963","","","","#pj; recommended","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2FMEXNGN","journalArticle","1996","Johnson, Eric","Word Lengths, Authorship, and Four-Letter Words","Text Technology","","","","","","1996","2016-08-16 19:48:06","2017-01-04 17:25:44","","15-23","","","6","","","","","","","","","","","","","","","","","---. Word Lengths, Authorship, and Four-Letter Words. Text Technology 6 1996: 15-23.  bibtex: johnson_word_1996","","","","#jr2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2GG3PQJE","bookSection","2000","Marcus, Leah S.","Afterword: Confessions of a Reformed Uneditor","The Renaissance Text: Theory, editing, textuality","","","","","","2000","2016-08-16 19:43:22","2017-01-09 08:41:08","","211-216","","","","","","","","","","","Manchester University Press","Manchester","","","","","","","","Marcus, Leah S. Afterword: Confessions of a Reformed Uneditor. In The Renaissance Text: Theory, editing, textuality. Ed. Andrew Murphy. Manchester: Manchester University Press, 2000, 211-216.  bibtex: marcus_afterword:_2000","","","","#jr1","","Murphy, Andrew","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2H6ASTHM","conferencePaper","2004","Berger, Helmut; Merkl, Dieter","A Comparison of Text-Categorization Methods Applied to N-Gram Frequency Statistics","Proceeding AI'04 Proceedings of the 17th Australian joint conference on Advances in Artificial Intelligence, (Cairns, Australia)","","","","","","2004","2017-01-03 16:12:22","2017-01-16 20:12:05","","998-1003","","","","","","","","","","","Springer","Berlin","eng","","","","","","","bibtex: berger_comparison_2004","","","","","","Webb, G. I.; Xinghuo, Yu","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Proceeding AI'04 Proceedings of the 17th Australian joint conference on Advances in Artificial Intelligence","","","","","","","","","","","","","","",""
"2HFR3DZ3","thesis","2008","Bell, Edward J.L.","Stylometric Exploration and Classification with LNRE Word Frequency Distributions","","","","","","","2008","2016-08-16 19:48:06","2017-01-04 20:25:10","","","","","","","","","","","","","Lancaster University","Lancaster","","","M. Res. Dissertation","","","","","Bell, Edward J.L. Stylometric Exploration and Classification with LNRE Word Frequency Distributions. M. Res Dissertation, Lancaster University, 2008.  bibtex: bell_stylometric_2008","","","","#jr2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2IHN7WRJ","journalArticle","2012","Torney, Rosemary; Vampiew, Peter; Yearwood, John","Using Psycholinguistic Features for Profiling First Language of Authors","Journal of the American Society for Information Science and Technology","","","","","","2012","2016-08-16 20:03:29","2017-01-09 08:41:08","","1256-1269","","6","63","","","","","","","","","","","","","","","","","Torney, Rosemary, Peter Vampiew, and John Yearwood. Using Psycholinguistic Features for Profiling First Language of Authors. Journal of the American Society for Information Science and Technology 63.6 2012: 1256-1269.  bibtex: torney_using_2012","","","","#jr5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2ITBUFTA","journalArticle","2000","Moretti, Franco","Conjectures on World Literature","New Left Review","","","","","","2000","2016-08-16 16:43:38","2016-08-16 16:43:38","","54–68","","","1","","","","","","","","","","","","","","","","","bibtex: moretti_conjectures_2000","","","","#pj","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2J6QHRGA","webpage","2012","Potthast, Martin","PAN 2012 Lab: Uncovering Plagiarism, Authorship, and Social Software Misuse","","","","","http://pan.webis.de/","","2012","2016-08-16 16:43:38","2017-01-05 10:45:01","","","","","","","","","","","","","","","","","","","","","","Published: Conference CFP at \tt http://pan.webis.de/  bibtex: potthast_pan_2012","","","","#pj","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2JMWGKNC","book","2010","Luyckx, Kim","Scalability issues in authorship attribution","","978-90-5487-823-0 90-5487-823-1","","","","Review: Shlomo Argamon in Lit Linguist Computing (2012) 27(1): 95-97 doi:10.1093/llc/fqr048","2010","2016-11-17 14:47:33","2017-01-03 13:44:38","","","","","","","","","","","","","ASA Publishers","Brussels","eng","","","","","Open WorldCat","","bibtex: luyckx_scalability_2010","","","","AuthorshipAttribution; genre","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2JUCDQE6","conferencePaper","2010","Rybicki, Jan","Original, Translation, Inflation. Are All Translations Longer than Their Originals?","Proceedings of Digital Humanities 2010","","","","","","2010-07","2016-08-16 16:43:38","2016-08-16 16:43:38","","","","","","","","","","","","","","London","","","","","","","","bibtex: rybicki_original_2010","","","","#pj","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2JZD3UZ8","conferencePaper","2004","Heiden, Serge","Interface hypertextuelle à un espace de cooccurrences : implémentation dans Weblex","JADT 2004 : 7 es  Journées internationales d’Analyse statistique des Données Textuelles, (Louvain-La-Neuve, Belgium)","","","","","","2004","2017-01-12 16:44:27","2017-01-16 19:52:29","","577-588","","","","","","","","","","","Presses universitaires de Louvain","Louvain","fre","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","JADT 2004 : 7 es  Journées internationales d’Analyse statistique des Données Textuelles","","","","","","","","","","","","","","",""
"2K2MTFSB","journalArticle","1994","Aamodt, Agnar; Plaza, Enric","Case-Based Reasoning: Foundational Issues, Methodological Variations, and System Approaches","AI Communications","","","","","","1994","2016-08-16 16:43:38","2017-01-02 11:58:32","","39–59","","1","7","","","","","","","","","","","","","","","","","bibtex: aamodt_case-based_1994","","","","#pj; #remove","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2K2Q4PC3","journalArticle","2011","Debreceny, Roger S.; Gray, Glen L.","Data Mining of Electronic Mail and Auditing: A Research Agenda","Journal of Information Systems","","","","","","2011","2016-08-16 19:43:22","2017-01-09 08:41:08","","195-226","","2","25","","","","","","","","","","","","","","","","","Debreceny, Roger S., and Glen L. Gray. Data Mining of Electronic Mail and Auditing: A Research Agenda. Journal of Information Systems 25.2 2011: 195-226.  bibtex: debreceny_data_2011","","","","#jr1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2KJCPF9Z","bookSection","2008","Tweedie, Fiona J","Statistical models in stylistics and forensic linguistics","Quantitative Linguistics. An International Handbook","","","","","","2008","2017-01-03 10:33:26","2017-01-03 10:33:26","","387-397","","","","","","","","","","","de Gruyter","Berlin","en","","","","","","","bibtex: tweedie_statistical_2008","","","","style","","Köhler, Reinhard; Altmann, Gabriel; Piotrowski, Raimund G.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2KR9FC9D","conferencePaper","2013","Eder, Maciej; Kestemont, Mike; Rybicki, Jan","Stylometry with R: a suite of tools","Digital Humanities 2013: Conference Abstracts, (Lincoln, NE)","","","","http://dh2013.unl.edu/abstracts/","","2013","2016-08-16 16:43:38","2017-01-23 09:51:23","","487-489","","","","","","","","","","","","","","","","","","","","bibtex: eder_stylometry_2013","","","","#pj","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Digital Humanities 2013: Conference Abstracts","","","","","","","","","","","","","","",""
"2KVPSXNP","conferencePaper","2004","Pusara, M.; Brodley, C.E.","User re-authentication via mouse movements","Proceedings of the 2004 ACM workshop on Visualization and data mining for computer security","","","","","","2004","2016-08-16 16:43:38","2016-08-16 16:43:38","","1–8","","","","","","","","","","","ACM","","","","","","","","","bibtex: pusara_user_2004","","","","#pj","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2M37DXSD","conferencePaper","2011","Jockers, Matthew","Detecting and Characterizing National Style in the 19th Century Novel","DH2011","","","","","","2011","2016-08-16 19:58:11","2017-01-04 17:30:08","","N/A","","","","","","","","","","","","","","","","","","","","Jockers, Matthew. Detecting and Characterizing National Style in the 19th Century Novel. Paper presented at DH2011 June 19-22, 2011. Stanford CA. Pp. 159-160 in book of abstracts.  bibtex: jockers_detecting_2011","","","","#jr4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2M8633F2","conferencePaper","2010","Shalhoub, Gregory","Stylometry System -- Use Cases and Feasibility Study","Proceedings of Student-Faculty Research Day","","","","","","2010","2016-08-16 20:03:29","2017-01-09 08:41:08","","N/A","","","","","","","","","","","","","","","","","","","","Shalhoub, Gregory, et al. Stylometry System -- Use Cases and Feasibility Study. Proceedings of Student-Faculty Research Day, CSIS, Pace University, May 7, 2010. pp. A3.1-A3.8.  bibtex: shalhoub_stylometry_2010","","","","#jr5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
